,Sample_0,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49
Gene_10,13,14,4,7,9,8,8,12,6,15,13,13,6,16,13,10,7,10,12,11,8,6,9,10,9,15,8,7,6,13,12,13,7,4,10,3,8,8,11,14,6,6,4,16,8,11,14,10,6,5
Gene_11,10,12,7,7,6,10,13,12,13,12,11,5,7,11,8,8,10,7,14,16,8,9,15,10,11,10,12,10,4,9,11,9,15,13,12,8,8,6,13,10,2,8,9,6,13,15,12,8,10,5
Gene_12,13,7,15,5,8,7,12,14,13,13,15,13,5,13,12,16,10,9,6,12,10,11,11,7,9,9,7,9,9,11,8,9,10,4,8,12,9,12,9,12,8,13,6,9,9,3,11,8,12,14
Gene_13,9,9,5,12,14,7,7,10,15,7,12,15,14,10,22,10,10,17,10,8,17,7,7,12,7,5,15,7,14,9,7,11,10,10,13,13,7,10,6,15,5,4,13,9,12,7,11,9,7,10
Gene_14,8,11,9,9,13,8,15,12,9,13,11,18,16,10,8,8,8,14,8,7,12,9,7,15,4,10,10,6,15,20,12,6,16,10,12,9,7,7,12,12,17,7,15,9,7,10,13,9,10,7
Gene_15,7,10,9,16,5,14,10,12,7,6,9,13,12,7,9,8,7,17,12,12,17,8,11,9,7,15,13,8,10,9,9,6,6,8,5,11,11,10,12,2,11,14,6,8,8,7,13,10,7,6
Gene_16,4,10,16,7,9,7,13,10,3,13,9,16,10,8,10,5,10,14,10,11,11,7,9,12,9,5,10,10,13,15,7,18,15,6,9,7,7,15,6,11,9,13,11,8,11,11,11,11,18,4
Gene_17,6,9,15,10,11,16,13,7,8,8,11,9,6,9,13,15,11,4,5,10,14,8,8,16,9,13,10,8,12,8,7,19,9,12,15,9,12,11,15,19,8,8,8,8,9,11,6,11,14,6
Gene_18,5,7,10,12,7,6,10,10,12,17,11,11,7,6,16,10,7,3,8,8,8,12,13,6,12,8,7,11,8,9,9,7,16,12,10,8,15,9,6,7,17,8,5,13,16,9,12,6,16,16
Gene_19,15,10,12,7,15,11,13,8,11,7,11,9,7,15,10,8,8,13,15,11,11,9,10,7,10,5,16,10,12,14,10,9,14,11,10,12,17,6,1,7,12,12,11,13,9,11,7,9,7,12
Gene_20,9,8,8,7,14,12,8,7,10,13,7,12,21,9,9,13,14,9,9,11,12,9,14,4,12,7,11,11,4,12,8,9,13,19,7,9,16,17,10,7,14,6,7,9,8,13,16,8,11,17
Gene_21,3,9,7,10,8,12,13,11,9,7,7,11,21,6,5,7,6,8,13,12,8,4,7,11,8,8,6,13,14,6,12,11,13,4,13,11,8,11,11,6,10,12,12,9,15,4,14,10,8,11
Gene_22,8,9,8,10,15,8,4,10,6,13,9,6,10,8,11,10,8,8,18,6,14,8,10,5,12,5,13,8,10,15,11,12,8,11,10,8,15,15,15,11,7,9,5,6,6,9,9,16,11,7
Gene_23,8,12,12,14,20,8,9,10,11,16,10,12,6,6,16,10,11,6,8,10,9,7,11,9,13,4,12,8,12,9,8,7,10,13,12,10,8,9,11,10,8,6,9,10,14,5,8,13,5,12
Gene_24,8,12,17,10,14,13,12,11,8,15,11,10,11,14,6,10,6,10,12,5,10,10,12,13,7,8,9,14,5,11,10,7,8,16,11,12,9,12,11,9,15,12,6,13,10,6,12,8,14,10
Gene_25,9,11,7,10,12,15,14,6,9,10,9,15,9,5,14,7,12,12,6,5,15,15,12,13,7,11,9,17,16,11,14,7,11,12,7,8,12,11,10,9,6,15,4,12,10,4,9,10,10,10
Gene_26,7,4,15,8,14,15,10,16,19,10,10,4,8,10,5,8,11,12,7,10,15,19,11,11,15,12,5,8,7,11,7,14,7,12,5,11,6,8,13,10,11,4,6,9,11,13,15,7,8,15
Gene_27,11,7,11,14,9,10,5,8,9,15,16,8,13,6,4,9,9,10,11,4,8,12,11,11,8,8,13,11,19,5,9,11,7,6,13,13,11,8,6,11,7,16,7,6,12,10,9,3,9,12
Gene_28,11,20,5,3,4,9,10,10,8,7,7,9,7,11,10,6,10,12,7,12,11,8,5,14,7,11,8,11,12,14,11,6,15,16,12,5,11,9,14,10,6,5,15,8,14,13,14,9,11,8
Gene_29,8,10,10,3,10,10,7,10,6,5,5,16,8,16,12,16,15,11,12,15,13,4,9,9,9,7,7,17,12,11,12,11,12,14,5,6,13,3,12,13,8,12,14,12,7,7,9,13,7,9
Gene_30,4,12,17,8,10,8,8,9,10,11,15,9,4,6,5,5,7,12,13,12,10,13,9,7,7,9,4,6,7,5,6,11,4,14,7,9,3,7,11,13,10,15,13,4,12,10,5,7,15,13
Gene_31,9,12,15,8,8,9,7,11,8,11,10,17,5,9,8,5,11,20,16,9,4,12,12,5,11,11,12,10,7,7,13,6,14,6,12,5,7,10,12,15,8,16,14,7,6,8,11,12,7,14
Gene_32,16,11,6,9,10,8,13,15,11,6,8,11,6,3,7,12,6,12,6,13,2,11,10,10,12,8,11,7,9,13,12,14,9,17,7,10,15,9,4,11,8,6,10,12,13,15,10,12,8,10
Gene_33,9,8,7,11,13,11,9,13,9,10,14,7,15,5,7,12,8,8,7,8,11,12,7,13,15,11,9,15,10,14,12,8,8,5,8,21,13,10,13,12,9,6,9,11,17,5,16,16,10,6
Gene_34,5,10,9,7,14,16,11,6,9,12,4,11,12,13,12,14,12,14,11,11,18,13,5,13,8,8,8,14,11,8,6,13,14,8,4,7,14,15,5,11,11,10,7,11,11,5,7,7,13,8
Gene_35,7,12,9,9,10,13,11,6,13,11,12,8,11,9,8,13,9,12,13,7,7,1,7,10,13,8,13,5,10,13,8,9,10,10,9,3,10,9,7,15,14,6,12,10,13,12,11,12,12,8
Gene_36,5,7,11,13,12,12,9,12,10,15,8,15,16,8,6,11,13,10,17,17,14,11,11,11,10,12,12,12,3,22,16,10,8,8,10,10,9,11,6,16,7,7,14,8,8,11,11,10,9,7
Gene_37,8,10,11,10,12,15,10,11,15,10,18,9,12,7,12,13,8,10,12,6,10,10,10,8,13,8,14,5,8,12,10,8,9,12,7,20,12,8,16,14,14,8,16,7,1,6,6,9,9,7
Gene_38,13,9,12,11,14,15,6,9,3,14,10,10,10,6,7,8,10,17,9,8,12,6,11,12,7,14,14,10,5,6,7,10,11,14,2,13,9,11,8,16,15,11,9,8,10,6,17,11,7,8
Gene_39,12,5,4,10,16,7,4,12,9,8,11,8,12,9,5,13,16,8,7,13,14,14,8,14,11,11,9,3,15,8,12,10,18,4,12,5,11,13,8,10,5,17,19,11,12,8,12,6,14,8
Gene_40,9,9,9,6,10,11,10,12,7,12,10,11,9,11,11,11,7,12,22,6,11,10,9,15,16,5,11,13,12,5,9,7,10,7,6,6,7,10,7,7,7,9,10,9,10,7,10,10,6,15
Gene_41,17,11,9,8,10,20,8,9,9,6,12,10,11,10,10,13,11,10,12,8,6,9,8,10,10,11,18,11,11,18,4,7,6,10,17,16,6,10,14,13,4,11,13,10,11,10,6,6,7,8
Gene_42,12,7,8,11,8,10,17,6,13,11,12,13,7,9,16,8,16,8,15,12,11,9,10,10,10,15,8,9,15,11,22,9,7,3,9,13,9,7,6,10,7,14,10,8,11,10,7,12,9,10
Gene_43,8,13,7,12,12,7,15,5,10,12,7,15,8,6,13,10,16,13,10,11,10,9,10,11,13,13,7,14,12,6,14,9,8,12,13,13,9,10,15,11,10,9,6,6,5,8,3,4,9,12
Gene_44,13,8,2,11,13,16,13,11,8,11,8,14,7,7,7,7,17,3,3,13,14,14,6,11,10,3,13,4,17,10,8,14,8,12,6,13,10,9,14,7,8,7,10,9,16,9,7,7,6,11
Gene_45,12,19,5,10,13,11,10,9,11,11,12,7,8,12,14,12,14,13,8,8,4,8,6,12,13,15,13,6,4,8,8,11,11,11,14,10,10,10,8,12,8,16,24,7,12,14,15,4,11,5
Gene_46,14,16,11,11,8,10,14,8,7,13,7,11,9,9,8,14,7,8,5,8,9,5,10,10,9,10,8,16,10,6,10,8,13,13,7,18,10,13,8,11,13,10,13,15,17,10,14,15,10,14
Gene_47,12,9,6,10,9,10,13,11,10,5,7,9,10,7,14,8,9,7,11,11,9,7,5,16,8,7,7,4,9,14,10,13,10,18,5,10,6,14,13,8,22,14,11,13,9,11,16,11,11,15
Gene_48,14,9,11,13,14,10,5,12,9,2,9,10,6,9,7,8,9,8,12,9,8,13,10,3,9,12,13,10,12,4,9,11,10,15,10,7,12,14,11,9,13,9,14,7,13,5,5,8,13,8
Gene_49,13,16,9,8,8,13,7,14,14,7,12,10,13,13,8,7,10,10,7,9,3,13,10,7,6,8,8,6,5,7,10,6,10,14,5,12,10,9,8,11,10,9,7,12,11,5,9,11,8,11
Gene_50,9,15,14,9,5,4,13,6,10,9,6,13,6,13,8,9,9,4,14,7,16,12,5,14,10,6,7,8,8,7,9,4,8,14,8,11,5,9,8,12,11,14,16,8,8,11,10,13,11,15
Gene_51,7,11,6,9,10,5,6,15,10,7,14,10,14,12,4,8,11,8,8,10,8,7,10,6,10,7,9,12,12,7,10,18,9,14,13,15,10,18,11,11,8,11,10,15,10,9,8,12,7,8
Gene_52,10,4,8,11,8,9,9,12,10,17,2,15,12,9,7,7,9,9,5,11,6,8,7,11,6,21,4,7,12,12,8,10,9,10,11,4,10,13,6,6,9,7,13,6,9,11,6,14,11,6
Gene_53,11,9,11,11,7,7,15,11,15,10,10,12,10,6,10,9,9,7,5,8,9,6,10,7,11,13,9,11,8,14,10,7,8,13,13,7,7,16,11,9,7,10,11,14,14,17,8,7,19,8
Gene_54,10,7,14,8,16,12,8,14,8,4,6,15,10,6,9,10,14,16,14,4,9,7,8,13,13,11,9,11,12,4,8,8,14,11,7,7,6,13,9,6,8,10,10,16,11,14,14,10,8,13
Gene_55,8,12,7,13,13,11,11,10,14,11,10,8,15,12,8,10,5,7,3,6,15,8,7,9,12,8,8,16,12,8,8,9,7,7,10,7,8,13,12,11,7,9,10,2,6,13,11,9,14,10
Gene_56,13,9,7,11,8,6,18,9,13,11,16,15,11,16,6,13,12,11,11,15,5,10,6,7,12,8,3,4,12,5,10,7,10,14,10,8,8,13,7,17,8,13,13,10,8,14,10,11,24,16
Gene_57,6,13,7,11,8,6,14,8,9,13,10,10,12,14,8,13,12,6,11,8,13,11,9,11,14,8,13,15,10,7,12,7,8,7,8,14,7,10,14,9,9,6,9,14,12,12,4,11,9,10
Gene_58,13,16,12,17,8,13,6,9,5,8,12,14,15,5,8,11,4,10,6,8,8,9,13,11,4,9,7,13,4,10,7,11,5,4,9,8,4,13,10,10,9,13,15,16,10,8,14,9,14,19
Gene_59,10,6,13,7,15,10,13,12,11,9,7,9,10,14,6,9,7,17,8,13,13,12,4,8,11,9,5,9,3,12,9,14,15,5,5,7,6,11,14,8,11,6,7,6,8,7,11,8,4,4
Gene_60,4,7,8,9,10,5,8,10,9,9,12,8,18,11,6,13,5,11,13,13,13,13,14,18,10,8,8,8,10,8,10,9,13,11,7,12,13,9,10,6,9,8,10,16,10,12,17,6,10,16
Gene_61,8,15,9,9,14,13,9,11,9,10,11,11,11,14,9,10,9,10,9,8,9,10,8,5,10,11,4,9,7,11,10,9,9,11,15,13,10,16,12,8,10,10,13,14,16,14,6,8,9,12
Gene_62,12,14,6,11,6,16,11,9,10,9,5,13,9,10,11,12,8,11,9,6,18,12,12,13,8,6,9,12,12,17,13,12,12,10,16,17,7,8,13,8,11,8,8,8,12,12,8,12,5,9
Gene_63,8,11,9,8,15,6,7,7,15,3,9,7,11,13,11,10,5,11,9,11,11,6,6,13,11,5,7,15,6,11,11,7,6,4,8,8,9,7,9,11,13,9,10,12,14,6,15,9,9,6
Gene_64,10,10,8,12,8,8,11,7,11,9,5,11,2,9,8,7,12,9,10,8,16,8,9,6,11,7,6,6,8,12,10,8,10,7,6,8,13,13,10,7,11,10,12,6,11,10,12,10,16,8
Gene_65,7,9,8,6,10,12,9,16,4,7,9,15,12,8,18,14,7,8,10,6,9,10,12,8,5,6,8,7,10,8,13,10,14,14,9,12,15,5,11,14,11,8,11,8,11,11,13,6,13,9
Gene_66,16,8,10,11,12,10,12,7,5,13,14,7,7,19,11,14,9,10,13,8,8,12,15,14,10,13,6,8,12,15,14,8,12,3,16,10,9,15,13,12,8,9,8,5,13,9,9,11,11,11
Gene_67,10,14,6,16,14,19,9,13,13,8,15,5,10,8,9,11,15,7,11,13,8,9,16,8,11,11,11,7,8,8,10,14,8,13,12,13,6,9,9,10,14,11,7,5,9,9,14,7,7,11
Gene_68,9,7,10,6,14,6,21,10,8,7,7,9,13,12,17,8,9,11,12,6,12,7,15,3,10,16,12,7,17,12,9,11,11,8,7,12,12,10,12,10,9,6,11,15,16,19,10,10,8,12
Gene_69,8,11,11,13,11,7,11,14,15,5,10,11,9,11,5,17,12,17,7,12,7,9,10,9,10,9,10,12,8,11,9,13,8,12,12,10,15,6,11,10,9,8,13,10,14,9,9,14,10,3
Gene_70,10,9,10,14,7,10,15,14,9,10,9,7,15,13,9,7,4,10,7,5,6,20,7,13,13,8,14,10,11,18,10,7,13,7,5,9,8,15,12,12,12,5,14,8,7,8,14,9,14,15
Gene_71,11,12,10,8,12,9,11,3,10,6,9,5,11,7,16,5,13,17,10,6,13,6,10,13,8,12,10,11,11,10,10,11,9,10,9,10,12,8,10,15,15,12,7,12,9,15,13,13,8,7
Gene_72,15,8,12,7,3,11,10,7,8,6,12,13,11,10,14,3,9,8,6,8,10,20,10,10,8,12,11,14,10,3,10,10,11,9,13,11,12,8,7,7,5,7,10,5,6,7,7,14,16,8
Gene_73,14,15,8,9,10,13,11,10,10,11,8,11,8,8,5,6,12,6,10,10,9,11,6,8,13,9,11,11,14,9,8,10,11,11,8,11,14,21,13,9,12,12,7,13,7,9,7,10,5,13
Gene_74,10,14,12,11,14,3,9,7,13,12,8,13,11,11,7,7,8,9,8,16,7,10,10,8,5,13,20,7,9,8,7,14,13,7,9,11,8,7,10,11,9,6,12,9,11,8,13,7,5,17
Gene_75,12,11,9,10,12,9,6,6,8,13,14,7,6,9,14,12,6,8,12,16,4,8,14,13,9,13,8,5,14,16,11,11,9,8,8,14,10,10,14,5,18,8,10,10,9,9,7,5,9,14
Gene_76,10,9,3,10,11,11,8,6,9,11,7,8,12,11,10,13,8,8,11,8,11,14,11,8,10,8,12,9,7,9,11,9,11,10,8,5,8,7,12,4,8,13,17,8,10,14,6,9,11,10
Gene_77,9,12,11,12,7,8,15,13,10,12,8,11,11,15,15,9,12,12,9,8,10,7,8,7,4,9,9,15,6,9,12,6,10,13,9,9,9,8,7,9,12,8,10,8,7,13,6,12,11,8
Gene_78,8,10,7,15,16,9,7,4,9,11,10,11,9,16,14,10,10,11,13,7,8,17,7,6,6,13,9,13,11,6,9,15,5,7,13,5,15,6,9,4,12,8,14,10,7,17,16,9,10,12
Gene_79,8,13,10,12,13,10,9,17,10,12,3,17,19,7,13,9,10,5,7,7,11,11,13,6,9,9,13,7,17,7,9,11,18,12,10,10,11,5,10,13,9,3,11,7,18,9,18,8,8,19
Gene_80,14,9,5,6,6,8,5,9,14,10,15,8,10,8,8,12,9,5,13,5,8,6,6,12,4,11,7,13,10,9,15,6,12,10,9,15,8,9,5,7,12,8,5,6,14,7,8,15,12,13
Gene_81,7,10,10,13,5,13,17,8,10,8,7,6,11,13,10,14,14,12,9,12,8,14,14,8,8,8,5,5,6,7,14,5,10,12,13,17,11,8,12,16,8,15,5,13,5,11,10,11,11,3
Gene_82,13,12,14,15,8,14,14,12,3,7,11,5,13,12,11,12,14,10,10,15,5,9,6,7,12,7,8,15,18,18,7,6,8,12,11,8,10,11,10,12,17,13,17,10,13,7,14,8,13,12
Gene_83,7,13,12,13,11,10,12,8,14,11,6,12,4,8,5,11,7,7,11,10,11,11,6,6,13,10,7,5,8,10,8,15,10,12,18,13,10,6,8,11,6,6,10,7,9,9,12,12,8,12
Gene_84,16,9,13,6,5,10,9,11,9,13,6,8,12,12,15,11,15,8,7,11,4,21,8,13,8,7,8,13,11,4,16,14,8,9,14,9,8,11,4,6,8,5,8,12,10,8,4,15,9,13
Gene_85,7,14,18,9,12,8,13,11,11,15,6,8,5,10,5,7,15,7,11,12,14,6,12,10,9,16,8,17,10,17,15,5,11,4,7,10,8,3,11,10,13,12,9,9,8,7,7,10,8,8
Gene_86,8,12,10,18,13,12,10,6,11,10,14,13,9,19,8,7,10,9,9,4,11,9,10,10,8,8,12,12,10,12,10,4,10,12,7,8,6,7,11,11,5,13,10,10,14,6,11,4,13,4
Gene_87,6,7,5,4,20,4,11,13,10,13,7,13,10,9,5,5,20,10,5,9,7,13,14,11,7,11,11,8,9,14,8,12,7,9,8,10,9,14,13,8,9,7,14,13,9,11,8,11,11,11
Gene_88,6,8,5,10,9,4,10,10,11,12,12,13,6,7,8,15,7,9,9,9,12,16,10,9,11,5,12,8,9,9,14,10,9,7,3,8,9,9,10,15,10,3,7,11,7,17,12,8,15,10
Gene_89,6,10,7,11,12,11,6,7,8,9,7,11,11,10,14,11,13,14,9,9,6,10,12,8,15,7,13,8,12,14,9,6,13,9,11,9,13,11,14,2,4,4,8,9,14,8,11,13,13,10
Gene_90,11,6,7,10,13,16,9,11,7,12,16,15,15,12,15,9,11,14,9,10,11,11,12,6,10,17,11,8,15,11,7,7,13,7,13,9,11,7,11,8,12,10,10,8,9,11,16,9,11,11
Gene_91,10,5,5,10,7,13,8,11,10,13,14,14,7,14,10,8,11,12,14,9,12,14,9,6,11,8,6,8,6,10,10,5,12,8,12,13,6,15,6,10,11,5,11,6,7,7,12,10,6,13
Gene_92,6,6,6,7,7,9,12,13,12,4,6,19,8,7,8,12,16,16,10,7,7,12,9,7,12,10,7,13,13,5,13,14,16,12,13,12,9,6,8,9,11,14,17,9,9,16,4,9,8,7
Gene_93,10,9,7,8,14,6,18,8,8,9,12,9,14,6,11,4,10,16,14,5,10,16,16,12,9,10,7,16,11,10,6,10,12,7,10,7,12,12,9,8,7,9,5,9,18,9,15,12,8,10
Gene_94,7,10,16,8,5,12,6,6,17,8,15,12,5,12,9,6,9,11,6,10,11,10,10,8,5,10,7,9,10,12,4,12,12,17,11,11,7,6,5,15,7,17,10,13,9,12,4,12,13,10
Gene_95,6,12,12,14,16,6,7,8,9,12,7,12,12,14,11,11,9,8,9,9,10,13,11,11,10,4,7,9,12,7,4,15,10,11,12,6,9,6,10,8,23,9,9,14,5,10,16,12,8,9
Gene_96,10,8,10,9,8,10,14,9,10,10,11,7,12,5,10,5,12,9,14,11,7,10,7,7,8,7,10,10,11,11,9,7,21,11,12,11,10,4,14,17,12,15,18,14,9,11,16,14,16,11
Gene_97,6,15,11,14,13,22,13,7,8,8,5,18,9,5,10,8,9,8,13,11,6,7,8,7,6,14,10,6,9,15,11,6,7,7,11,16,16,16,7,12,6,15,13,9,11,7,6,12,21,15
Gene_98,15,13,14,9,6,7,6,19,8,12,6,12,8,12,11,14,10,9,9,9,11,13,11,19,16,7,8,6,10,12,9,14,6,8,7,7,6,10,15,6,7,10,10,10,11,13,7,11,9,7
Gene_99,11,13,8,13,10,9,6,9,9,16,10,15,13,12,7,10,7,7,7,5,13,6,10,9,7,11,8,12,13,15,17,7,11,18,11,9,11,2,12,10,10,14,11,7,10,10,12,14,16,8
Gene_100,7,5,9,9,14,10,10,10,9,7,13,9,10,13,10,15,8,10,17,7,7,8,9,8,7,8,15,7,13,6,2,12,9,7,11,12,10,10,11,15,12,10,11,16,11,6,5,8,6,8
Gene_101,7,7,7,12,7,11,23,7,6,14,6,8,8,10,12,10,5,5,11,12,8,14,11,12,7,12,15,9,8,5,18,8,7,8,11,6,11,10,23,6,8,11,5,6,10,12,8,6,12,13
Gene_102,17,5,14,10,14,5,10,5,13,9,14,13,9,13,6,13,17,11,11,9,8,7,12,13,8,14,7,11,18,15,12,19,8,10,10,8,11,7,15,11,10,10,7,7,8,9,11,5,5,5
Gene_103,3,12,10,5,10,6,6,9,10,15,8,12,9,14,8,10,7,10,7,11,7,5,12,13,17,13,9,9,12,7,15,13,10,10,8,9,13,14,6,12,3,11,8,9,14,9,8,13,4,5
Gene_104,8,4,6,14,7,8,8,4,8,11,9,9,11,12,7,7,11,7,15,11,13,11,6,13,11,10,12,11,4,6,8,7,11,10,13,4,5,9,8,10,15,7,17,11,9,15,7,8,10,12
Gene_105,5,10,11,12,6,10,9,6,8,9,10,2,11,10,14,5,9,9,7,2,11,8,9,11,6,14,6,9,9,11,9,6,8,8,11,9,16,7,9,7,19,9,9,7,8,12,10,10,13,11
Gene_106,12,9,8,8,8,10,7,5,11,8,11,11,8,12,7,9,12,4,9,10,7,10,9,10,19,3,10,7,10,12,5,7,16,9,4,13,7,2,11,7,9,10,8,10,10,13,10,8,19,10
Gene_107,16,9,13,11,11,16,7,9,8,10,13,8,9,9,12,5,15,14,12,11,15,14,12,4,8,9,6,12,8,7,7,9,7,13,16,9,13,15,12,11,6,13,15,12,12,8,13,9,8,10
Gene_108,9,5,10,6,10,9,11,14,9,5,12,10,17,10,9,19,11,10,14,8,9,12,8,7,8,10,11,13,11,9,7,14,7,12,10,9,10,10,10,9,14,10,13,11,4,16,10,4,9,13
Gene_109,9,17,10,9,16,13,7,8,9,12,9,10,8,13,6,15,7,8,8,11,7,7,14,14,7,9,14,10,10,16,16,7,7,6,11,14,6,13,11,11,6,10,6,7,10,4,8,13,12,21
Gene_110,8,11,11,13,10,7,5,12,18,19,12,13,11,12,10,6,16,12,9,14,10,5,8,8,9,17,11,16,10,11,10,5,7,11,9,10,7,15,8,12,9,5,8,14,9,6,13,8,6,14
Gene_111,20,7,9,11,4,7,12,6,15,10,10,10,20,5,12,8,12,6,11,6,9,10,12,11,6,9,8,9,9,7,14,13,12,11,11,7,12,10,12,10,11,9,5,13,9,13,6,9,10,13
Gene_112,14,16,6,14,11,9,9,5,13,6,10,10,7,9,9,7,8,9,15,10,12,11,9,15,11,21,8,14,9,4,5,10,3,12,15,10,6,9,16,10,14,10,15,7,8,11,12,6,7,15
Gene_113,4,12,10,7,13,12,6,10,10,7,6,11,4,8,9,14,11,15,9,5,10,12,14,7,4,9,16,12,8,11,14,15,7,8,14,8,9,7,7,7,13,6,11,9,13,10,8,6,12,10
Gene_114,12,10,13,6,7,18,8,12,11,9,13,15,12,14,6,4,12,12,13,12,17,9,15,7,6,10,4,12,9,9,8,11,9,11,11,13,15,16,9,13,14,13,10,4,11,10,9,4,9,9
Gene_115,13,8,10,12,6,16,15,8,11,9,8,4,11,11,18,7,13,10,9,9,9,10,9,6,13,13,13,14,8,8,16,18,14,12,10,8,7,4,7,14,19,9,9,12,8,14,8,8,3,10
Gene_116,11,12,7,13,8,13,14,9,12,7,7,7,10,10,10,9,10,10,8,9,11,13,12,13,7,13,10,7,10,11,11,14,9,8,13,10,7,7,8,12,13,7,18,11,10,9,10,8,6,10
Gene_117,15,8,5,12,10,8,6,6,12,4,13,4,9,7,9,11,9,8,13,8,12,6,10,11,11,14,8,7,13,14,9,11,9,8,12,10,8,6,5,9,7,6,15,18,13,13,9,7,2,10
Gene_118,11,10,12,12,16,8,4,8,12,16,8,14,22,11,7,8,10,9,12,15,11,9,10,12,4,7,10,9,13,11,14,6,10,5,10,11,12,20,10,11,12,12,7,12,9,13,10,8,12,8
Gene_119,10,10,6,11,17,11,12,9,10,12,13,10,9,9,12,10,11,7,10,13,7,8,10,10,10,15,11,13,8,8,9,8,7,10,6,12,11,6,10,10,13,15,11,11,12,9,12,7,10,9
Gene_120,11,6,5,8,10,7,7,18,17,6,13,5,10,2,11,6,16,7,11,10,15,20,11,10,9,13,8,5,13,10,6,5,7,10,8,6,8,11,12,15,10,7,12,11,9,7,5,12,8,11
Gene_121,12,10,6,7,15,13,8,11,11,9,8,6,10,10,17,8,15,16,8,10,11,10,18,7,12,9,13,10,6,10,10,17,16,11,10,14,22,8,8,15,7,9,12,16,11,13,9,12,14,7
Gene_122,4,13,11,10,15,8,13,11,12,6,7,7,7,9,7,6,9,14,7,7,5,17,11,11,13,13,8,7,10,5,15,13,12,11,10,9,7,9,14,16,13,14,11,13,8,15,8,13,7,9
Gene_123,9,11,18,18,9,11,8,11,15,16,6,12,6,13,11,16,14,17,7,11,13,11,9,9,13,12,14,10,19,11,13,11,4,12,10,11,11,3,3,7,15,11,6,14,13,10,15,8,13,10
Gene_124,8,13,10,5,10,11,12,14,10,14,14,9,6,12,11,5,8,8,10,14,10,8,13,10,11,8,8,11,7,10,6,10,9,9,6,9,13,9,9,13,4,5,7,4,12,13,5,10,9,9
Gene_125,10,4,13,6,14,6,14,14,8,5,14,8,11,12,8,9,11,7,11,11,12,11,9,9,5,9,18,3,9,6,17,11,12,11,8,10,12,8,5,13,11,9,8,9,7,14,13,9,8,9
