	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Ensembl	hgnc	wikigene_desc
ENSG00000102854	909.6554641786	-5.3751839732	0.5167287339000001	-10.40233225	2.4193786936103503e-25	2.75354621135204e-23	ENSG00000102854	MSLN	mesothelin
ENSG00000253755	973.2167149194	-5.3372853877	0.5707720396	-9.3509930707	8.68285998458659e-21	5.761675888712071e-19	ENSG00000253755	IGHGP	
ENSG00000169594	470.9718727537	-5.2918453046	0.5059811886	-10.4585811169	1.3384490271005e-25	1.6009384891669e-23	ENSG00000169594	BNC1	basonuclin 1
ENSG00000211679	1933.4768437065	-5.2341479922	0.5002870864	-10.4622888222	1.2870838025973e-25	1.55936430509514e-23	ENSG00000211679	IGLC3	
ENSG00000081479	302.3453036223	-5.1910150439	0.6808083129	-7.6247821092	2.4444692389357202e-14	6.79063429555827e-13	ENSG00000081479	LRP2	LDL receptor related protein 2
ENSG00000211897	2176.9596669722	-5.1792895479	0.4786019649	-10.821705566	2.71673991658277e-27	4.0171384955518e-25	ENSG00000211897	IGHG3	
ENSG00000211663	256.4366969847	-5.1245855635	0.5896445565	-8.6909740909	3.5934499325539294e-18	1.79950390089147e-16	ENSG00000211663	IGLV3-19	
ENSG00000243290	213.5617154187	-5.1235963706	0.6182551204	-8.2871879286	1.15957344319699e-16	4.6134808664822704e-15	ENSG00000243290	IGKV1-12	
ENSG00000244575	111.46565126	-5.1043502948	0.6017890865000001	-8.4819588952	2.2143380206743402e-17	9.97195532140131e-16	ENSG00000244575	IGKV1-27	
ENSG00000211899	5548.3620312268	-5.0703925201	0.4856556268	-10.4403042814	1.6228967309233202e-25	1.9257101006624102e-23	ENSG00000211899	IGHM	
ENSG00000211648	218.463197599	-4.9745418224	0.5378763739	-9.248485458	2.27696034278453e-20	1.43486705628022e-18	ENSG00000211648	IGLV1-47	
ENSG00000136011	227.8293459436	-4.9618973699	0.45966663280000003	-10.7945563488	3.65222126530245e-27	5.2757740877780505e-25	ENSG00000136011	STAB2	stabilin 2
ENSG00000243466	804.5796890486	-4.9532510353	0.4946716364	-10.0132101201	1.33353820517475e-23	1.23362137709244e-21	ENSG00000243466	IGKV1-5	
ENSG00000211653	427.046971445	-4.9070676385	0.5404909568	-9.0789079392	1.09669648896012e-19	6.45607002074671e-18	ENSG00000211653	IGLV1-40	
ENSG00000171345	872.7339185176	-4.8773119743	0.5095911469000001	-9.5710296458	1.05846220779931e-21	7.734187470919581e-20	ENSG00000171345	KRT19	keratin 19
ENSG00000211966	165.7893870223	-4.8749279932	0.5933395682	-8.216084439	2.10255440568482e-16	8.041521218809631e-15	ENSG00000211966	IGHV5-51	
ENSG00000211947	68.1449961402	-4.8712143771	0.6403709233	-7.6068637724	2.80827038725807e-14	7.72130448057382e-13	ENSG00000211947	IGHV3-21	
ENSG00000174469	58.4569732694	-4.8691679234	0.3480772844	-13.9887552045	1.8257964419083202e-44	1.03898882977564e-41	ENSG00000174469	CNTNAP2	contactin associated protein like 2
ENSG00000182870	80.1271003671	-4.8561030956	0.4424940013	-10.9743930571	5.0745493236703895e-28	8.075844216034419e-26	ENSG00000182870	GALNT9	polypeptide N-acetylgalactosaminyltransferase 9
ENSG00000124920	907.1775306667	-4.8396500303	0.42652095970000004	-11.3468047009	7.69226395062396e-30	1.57014157313877e-27	ENSG00000124920	MYRF	myelin regulatory factor
ENSG00000243566	916.3372076341	-4.8392081655	0.46225831780000004	-10.4686232341	1.20381038073402e-25	1.46794513894832e-23	ENSG00000243566	UPK3B	uroplakin 3B
ENSG00000211662	242.3286648205	-4.8239221434	0.5742005798	-8.4011098446	4.42278439294648e-17	1.87908298903036e-15	ENSG00000211662	IGLV3-21	
ENSG00000160180	294.2813619977	-4.8182471072	0.4344421164	-11.0906537956	1.3926616215683e-28	2.35610744066947e-26	ENSG00000160180	TFF3	trefoil factor 3
ENSG00000237289	263.167587498	-4.8090687517	0.3293520307	-14.6016064965	2.7430457785247897e-48	1.83970202410418e-45	ENSG00000237289	CKMT1B	creatine kinase, mitochondrial 1B
ENSG00000081052	649.2612951474	-4.7992012539	0.2744422461	-17.4871082087	1.7964463682926001e-68	4.21693329377084e-65	ENSG00000081052	COL4A4	collagen type IV alpha 4 chain
ENSG00000241351	576.2710433852	-4.7976477847000005	0.4449056329	-10.7835177398	4.11828894811192e-27	5.7714438922831205e-25	ENSG00000241351	IGKV3-11	
ENSG00000211677	3368.0785933259	-4.7611631532	0.45690369620000004	-10.4204960319	1.99907846612461e-25	2.3173268219354302e-23	ENSG00000211677	IGLC2	
ENSG00000211937	109.4644892941	-4.759946308	0.6781471714	-7.0190461728	2.23387958794013e-12	4.630245560919179e-11	ENSG00000211937	IGHV2-5	
ENSG00000211673	236.7726111187	-4.7506135973	0.5628095518	-8.4408901414	3.1493003848708504e-17	1.3753653936625502e-15	ENSG00000211673	IGLV3-1	
ENSG00000169031	338.3026007568	-4.7404326817	0.24005043480000002	-19.7476529696	8.40334735679632e-87	5.26021533377594e-83	ENSG00000169031	COL4A3	collagen type IV alpha 3 chain
ENSG00000148604	58.9081393846	-4.7197085641	0.3687253431	-12.800065557	1.63812886135762e-37	6.03184742890878e-35	ENSG00000148604	RGR	retinal G protein coupled receptor
ENSG00000143355	54.2194966787	-4.6919746767	0.416440692	-11.2668496782	1.91292323625825e-29	3.66559035241773e-27	ENSG00000143355	LHX9	LIM homeobox 9
ENSG00000152092	75.683536649	-4.6881007757	0.3999969922	-11.7203400688	1.0026868298901e-31	2.4453838933125e-29	ENSG00000152092	ASTN1	astrotactin 1
ENSG00000154639	92.9808282575	-4.683888641	0.4201758485	-11.1474485216	7.36891125703897e-29	1.3435027620964498e-26	ENSG00000154639	CXADR	CXADR Ig-like cell adhesion molecule
ENSG00000211938	102.63940513	-4.6769003366	0.5303585429000001	-8.8183746617	1.16133103818515e-18	6.12602122642668e-17	ENSG00000211938	IGHV3-7	
ENSG00000211935	52.0896887088	-4.6705504187999995	0.7068936071	-6.6071476271	3.91795302495511e-11	6.725341851520291e-10	ENSG00000211935	IGHV1-3	
ENSG00000211934	138.2222904703	-4.6559326893	0.625593389	-7.4424262968	9.88526141514404e-14	2.50858546101338e-12	ENSG00000211934	IGHV1-2	
ENSG00000152208	30.5149912689	-4.6479927712	0.36167731940000003	-12.8512143891	8.46705117135241e-38	3.18005507893654e-35	ENSG00000152208	GRID2	glutamate ionotropic receptor delta type subunit 2
ENSG00000270550	165.2905609465	-4.6465689262000005	0.5512057555000001	-8.4298265748	3.46177871162559e-17	1.49789729091283e-15	ENSG00000270550	IGHV3-30	
ENSG00000211592	9486.3484834022	-4.5989434483	0.4805653266	-9.5698611487	1.0704934481187e-21	7.791781574504281e-20	ENSG00000211592	IGKC	
ENSG00000211640	99.7607391158	-4.5794096554	0.5393173305	-8.4911227515	2.0465027055476302e-17	9.32797920084441e-16	ENSG00000211640	IGLV6-57	
ENSG00000124780	55.5524844004	-4.5630124352	0.3450897908	-13.2226816221	6.49078900147031e-40	2.77023924224116e-37	ENSG00000124780	KCNK17	potassium two pore domain channel subfamily K member 17
ENSG00000211893	3219.2471737627	-4.5422440339	0.4338291479	-10.4701218336	1.18490405624355e-25	1.45433420079723e-23	ENSG00000211893	IGHG2	
ENSG00000105894	1723.1053332974	-4.5162597534	0.2843081784	-15.8850856084	8.03881306269507e-57	8.386715028019491e-54	ENSG00000105894	PTN	pleiotrophin
ENSG00000181072	46.0647494591	-4.5065552997000005	0.3643143688	-12.3699631014	3.79995928599356e-35	1.1326894512964001e-32	ENSG00000181072	CHRM2	cholinergic receptor muscarinic 2
ENSG00000121207	61.8739987489	-4.4623842582	0.3936209265	-11.3367556391	8.628426367310979e-30	1.72375764629503e-27	ENSG00000121207	LRAT	lecithin retinol acyltransferase
ENSG00000183242	43.3235911304	-4.451912208	0.3446577703	-12.9169065411	3.61380622128669e-38	1.44390780913921e-35	ENSG00000183242	WT1-AS	
ENSG00000240864	72.6148034094	-4.4443639044	0.6129597348	-7.2506620783999995	4.14739247991134e-13	9.68705017167351e-12	ENSG00000240864	IGKV1-16	
ENSG00000226777	142.9797074884	-4.4407586953	0.48430943400000004	-9.1692591216	4.76281088575132e-20	2.90392290985468e-18	ENSG00000226777	FAM30A	family with sequence similarity 30 member A
ENSG00000211896	16048.1855640626	-4.4299750829	0.526129052	-8.4199400617	3.76676970728282e-17	1.61498101217041e-15	ENSG00000211896	IGHG1	
ENSG00000211943	94.8226020197	-4.4287562651	0.5413141113000001	-8.1814905112	2.80354180062348e-16	1.05085252442931e-14	ENSG00000211943	IGHV3-15	
ENSG00000211933	59.8402182868	-4.4153186197	0.6317717899	-6.9887872331	2.77272535330272e-12	5.6169373688966195e-11	ENSG00000211933	IGHV6-1	
ENSG00000184937	233.4205132707	-4.4140382351	0.5202192436	-8.4849576197	2.15797367122784e-17	9.76496086071991e-16	ENSG00000184937	WT1	WT1 transcription factor
ENSG00000132465	2257.4759457249	-4.4002543295	0.47054977140000004	-9.3513047864	8.65730482972152e-21	5.761675888712071e-19	ENSG00000132465	JCHAIN	joining chain of multimeric IgA and IgM
ENSG00000230006	74.1931212128	-4.3903864727	0.4712096469	-9.3172678053	1.1937462483781001e-20	7.838238041360981e-19	ENSG00000230006	ANKRD36BP2	
ENSG00000241294	52.1613213071	-4.3632339287	0.6762666860000001	-6.4519427304	1.10425311523279e-10	1.7411225231701601e-09	ENSG00000241294	IGKV2-24	
ENSG00000211955	99.3599080405	-4.3631944351	0.5673692158	-7.6902206075	1.46881542643707e-14	4.1855667516026996e-13	ENSG00000211955	IGHV3-33	
ENSG00000170476	212.5138401749	-4.3621152495	0.420495237	-10.3737566227	3.26434035213651e-25	3.63923796109161e-23	ENSG00000170476	MZB1	marginal zone B and B1 cell specific protein
ENSG00000197506	92.0318268172	-4.3596500724	0.43977121	-9.9134503871	3.6385868648657803e-23	3.13435884106947e-21	ENSG00000197506	SLC28A3	solute carrier family 28 member 3
ENSG00000182230	210.5733546878	-4.3583526253	0.45126700950000004	-9.6580351176	4.54497314727384e-22	3.51234776677594e-20	ENSG00000182230	FAM153B	family with sequence similarity 153 member B
ENSG00000148204	99.5359278375	-4.3577256717	0.4385789336	-9.9360122836	2.90213100265908e-23	2.57071311787428e-21	ENSG00000148204	CRB2	crumbs cell polarity complex component 2
ENSG00000211598	1148.942990902	-4.355269783	0.5304643321	-8.2102971292	2.20641805765586e-16	8.387515122412821e-15	ENSG00000211598	IGKV4-1	
ENSG00000110777	137.9966825611	-4.3549371583	0.43851474300000004	-9.931107739	3.0484982253529903e-23	2.6751284193413002e-21	ENSG00000110777	POU2AF1	POU class 2 homeobox associating factor 1
ENSG00000224373	137.1846623472	-4.3412806595	0.5978503086	-7.2614843498	3.82865308356844e-13	8.99853269791385e-12	ENSG00000224373	IGHV4-59	
ENSG00000116661	160.0194546814	-4.3378915495	0.23147798500000002	-18.7399745597	2.33739306886399e-78	7.31565074003281e-75	ENSG00000116661	FBXO2	F-box protein 2
ENSG00000223572	139.6203862577	-4.2751323655	0.4051408057	-10.5522137131	4.96141385048576e-26	6.29529666880216e-24	ENSG00000223572	CKMT1A	creatine kinase, mitochondrial 1A
ENSG00000116748	42.9033836923	-4.2749926034	0.44113788740000004	-9.6908307481	3.29834757096124e-22	2.5916179512586302e-20	ENSG00000116748	AMPD1	adenosine monophosphate deaminase 1
ENSG00000278196	126.6021815228	-4.2668713774	0.5590180012	-7.6327978139	2.29713000501093e-14	6.40026770980715e-13	ENSG00000278196	ENSG00000278196	ENSG00000278196
ENSG00000181143	236.9838080386	-4.2668592619	0.4894511533	-8.7176406326	2.84058876585248e-18	1.4378279362249e-16	ENSG00000181143	MUC16	mucin 16, cell surface associated
ENSG00000143297	112.8251270222	-4.2654068527	0.4857336331	-8.7813702037	1.6149503781323799e-18	8.377666616283971e-17	ENSG00000143297	FCRL5	Fc receptor like 5
ENSG00000124839	70.7651402543	-4.257269458	0.3386637012	-12.5707876085	3.05663538613268e-36	9.56675931936427e-34	ENSG00000124839	RAB17	RAB17, member RAS oncogene family
ENSG00000239855	59.3124637132	-4.2432446851	0.6822437239	-6.2195437442	4.986026046243601e-10	7.120348526418911e-09	ENSG00000239855	IGKV1-6	
ENSG00000211895	6615.493236717	-4.2429601814	0.5071197106	-8.3667822273	5.92129875625389e-17	2.4820551192788404e-15	ENSG00000211895	IGHA1	
ENSG00000211666	265.1243720072	-4.2336284731	0.4914728903	-8.6141648032	7.04532885717127e-18	3.37321287949817e-16	ENSG00000211666	IGLV2-14	
ENSG00000211660	110.0072265545	-4.2133842221	0.5319226432	-7.9210469349	2.3551901030125303e-15	7.732187927355311e-14	ENSG00000211660	IGLV2-23	
ENSG00000211651	303.7688798956	-4.2090802594	0.6019923112000001	-6.9919169751	2.71155341304113e-12	5.5048931398377695e-11	ENSG00000211651	IGLV1-44	
ENSG00000156738	400.9976009551	-4.1967723444	0.4530451055	-9.2634757409	1.97883413578489e-20	1.25542318364542e-18	ENSG00000156738	MS4A1	membrane spanning 4-domains A1
ENSG00000211949	120.9152662215	-4.1966749363	0.5313051008	-7.8988041517	2.8159192768068302e-15	9.13301348862789e-14	ENSG00000211949	IGHV3-23	
ENSG00000211892	1395.7925579942	-4.18063496	0.6527616983	-6.4045347194	1.50828630061754e-10	2.32355278419169e-09	ENSG00000211892	IGHG4	
ENSG00000147573	497.401172563	-4.1683275772	0.2809785467	-14.835038568	8.69539388027249e-50	6.28041544913988e-47	ENSG00000147573	TRIM55	tripartite motif containing 55
ENSG00000105369	226.9452539591	-4.1549320113	0.4623995125	-8.985589082	2.5735193873219803e-19	1.46448850225817e-17	ENSG00000105369	CD79A	CD79a molecule
ENSG00000240382	107.7032497331	-4.1176224301	0.6046693028	-6.8097097219	9.77958704963238e-12	1.8401890301106902e-10	ENSG00000240382	IGKV1-17	
ENSG00000111057	296.0006630045	-4.1175712045	0.37281608800000005	-11.0445105153	2.33034210050176e-28	3.80534733089762e-26	ENSG00000111057	KRT18	keratin 18
ENSG00000085552	131.6411805995	-4.1174602984	0.4941041957	-8.3331822206	7.86978944408856e-17	3.1919390058431804e-15	ENSG00000085552	IGSF9	immunoglobulin superfamily member 9
ENSG00000134762	156.495347634	-4.1055650213	0.4262098617	-9.6327311733	5.81626264551224e-22	4.4581059681663e-20	ENSG00000134762	DSC3	desmocollin 3
ENSG00000211668	78.3309070093	-4.0974046252	0.4608232003	-8.8914894525	6.02951573350924e-19	3.27249352484306e-17	ENSG00000211668	IGLV2-11	
ENSG00000143195	46.9446939211	-4.0887582362	0.4095044491	-9.9846491173	1.77929479383015e-23	1.6141727987119002e-21	ENSG00000143195	ILDR2	immunoglobulin like domain containing receptor 2
ENSG00000135472	498.8794263172	-4.0806517486	0.2560284964	-15.9382717409	3.4372925196019e-57	3.79699507209436e-54	ENSG00000135472	FAIM2	Fas apoptotic inhibitory molecule 2
ENSG00000211945	79.9147497866	-4.0796419387	0.6324134909	-6.4509090922	1.1118118070789001e-10	1.7515699601623102e-09	ENSG00000211945	IGHV1-18	
ENSG00000211959	97.5709901668	-4.0700542524	0.541737742	-7.5129604919	5.78049770842064e-14	1.50766620092266e-12	ENSG00000211959	IGHV4-39	
ENSG00000166856	38.2011170692	-4.0516646297	0.44041418050000003	-9.1996688789	3.59054466861301e-20	2.21071601088144e-18	ENSG00000166856	GPR182	G protein-coupled receptor 182
ENSG00000101282	54.7160559875	-4.0495707812	0.35329006490000003	-11.4624530475	2.0366338417271098e-30	4.44720312951087e-28	ENSG00000101282	RSPO4	R-spondin 4
ENSG00000188176	100.285569388	-4.0265333118	0.2778929745	-14.4895110054	1.41144036773612e-47	9.13980643645399e-45	ENSG00000188176	SMTNL2	smoothelin like 2
ENSG00000148600	63.1540425524	-3.9443254147	0.2292050569	-17.2087189903	2.28428994450523e-66	4.28966808678637e-63	ENSG00000148600	CDHR1	cadherin related family member 1
ENSG00000204677	48.7191859531	-3.9378623243	0.44413592090000004	-8.8663450517	7.55860013417416e-19	4.02104679659084e-17	ENSG00000204677	FAM153CP	family with sequence similarity 153 member C
ENSG00000109424	68.5580146007	-3.923188001	0.4657244585	-8.42383931	3.64343888227098e-17	1.5692692378478601e-15	ENSG00000109424	UCP1	uncoupling protein 1
ENSG00000125848	135.4998369396	-3.9081899997000003	0.3212778774	-12.1645163728	4.80281382335825e-34	1.3071310259252801e-31	ENSG00000125848	FLRT3	fibronectin leucine rich transmembrane protein 3
ENSG00000117707	164.8489530979	-3.8952622992	0.3674186841	-10.6016990102	2.92615259032692e-26	3.8159874648437e-24	ENSG00000117707	PROX1	prospero homeobox 1
ENSG00000111339	175.2103725651	-3.8789337068	0.24811315690000002	-15.633728396	4.289524662373e-55	4.02764918173513e-52	ENSG00000111339	ART4	ADP-ribosyltransferase 4 (Dombrock blood group)
ENSG00000211638	78.1973681165	-3.8657572927	0.7059533004	-5.4759391175	4.35197311016442e-08	4.36335841087975e-07	ENSG00000211638	IGLV8-61	
ENSG00000211669	68.7174708408	-3.8589748299	0.6234056431	-6.190150623	6.01067513230123e-10	8.442368609535141e-09	ENSG00000211669	IGLV3-10	
ENSG00000243238	87.7566336573	-3.8561278964	0.5149073596	-7.488974132	6.94140186359957e-14	1.79055749445792e-12	ENSG00000243238	IGKV2-30	
ENSG00000083454	57.9447727508	-3.8517552529	0.3812033913	-10.1041998591	5.29258353306078e-24	5.20363487787165e-22	ENSG00000083454	P2RX5	purinergic receptor P2X 5
ENSG00000135127	313.1776841948	-3.8475590795	0.3307398164	-11.6331898647	2.7945570047872404e-31	6.55987324911244e-29	ENSG00000135127	BICDL1	BICD family like cargo adaptor 1
ENSG00000177455	72.5733486709	-3.8324200612	0.3709974173	-10.3300451243	5.15363352311924e-25	5.65965403103253e-23	ENSG00000177455	CD19	CD19 molecule
ENSG00000092295	374.2177354989	-3.7794572814	0.4152171483	-9.1023631786	8.83873125099648e-20	5.2692867988083396e-18	ENSG00000092295	TGM1	transglutaminase 1
ENSG00000145808	23.2495639145	-3.7745384040000003	0.37134937500000004	-10.1643860427	2.8591763786503e-24	2.93401492976361e-22	ENSG00000145808	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19
ENSG00000172156	30.3166206859	-3.7591462814	0.6037692007000001	-6.2261312381	4.78093632498581e-10	6.8326638696277405e-09	ENSG00000172156	CCL11	C-C motif chemokine ligand 11
ENSG00000159958	79.3011698504	-3.7295323632	0.48016302310000003	-7.7672210968	8.02267358136087e-15	2.41438761513423e-13	ENSG00000159958	TNFRSF13C	TNF receptor superfamily member 13C
ENSG00000062038	47.3214877616	-3.7291045798	0.3932825462	-9.48199867	2.49458447414178e-21	1.75452441347972e-19	ENSG00000062038	CDH3	cadherin 3
ENSG00000171819	261.4432398589	-3.7145701186	0.39246084540000004	-9.4648170939	2.94075273435651e-21	2.0606117760627202e-19	ENSG00000171819	ANGPTL7	angiopoietin like 7
ENSG00000264230	275.4973657978	-3.7112708226	0.3943456482	-9.4112128272	4.90444616444577e-21	3.3129710259758e-19	ENSG00000264230	ANXA8L1	annexin A8 like 1
ENSG00000227954	60.6073344757	-3.7061499119	0.2241646096	-16.5331624761	2.11737025877815e-61	2.650806405973e-58	ENSG00000227954	TARID	
ENSG00000132704	58.5632626148	-3.6941059364	0.5087760809	-7.2607696691	3.8489387352213097e-13	9.02362303479664e-12	ENSG00000132704	FCRL2	Fc receptor like 2
ENSG00000107317	6366.0173924286	-3.6881868947000003	0.1900678867	-19.40457675	7.05975049799985e-84	3.31437636504848e-80	ENSG00000107317	PTGDS	prostaglandin D2 synthase
ENSG00000138759	308.8742720314	-3.6857823168	0.3268207184	-11.2776886815	1.69131343469397e-29	3.27434793712557e-27	ENSG00000138759	FRAS1	Fraser extracellular matrix complex subunit 1
ENSG00000224389	382.7373490785	-3.6686792874	0.35633983480000003	-10.2954509413	7.38726299321105e-25	7.97272481319025e-23	ENSG00000224389	C4B	complement C4B (Chido blood group)
ENSG00000138722	980.0587473673	-3.6081024561	0.4358046473	-8.2791738883	1.24032708967643e-16	4.913945657602021e-15	ENSG00000138722	MMRN1	multimerin 1
ENSG00000136573	88.5967265865	-3.6044946272000002	0.4926543873	-7.3164772715	2.5456511562337497e-13	6.1445736584721894e-12	ENSG00000136573	BLK	BLK proto-oncogene, Src family tyrosine kinase
ENSG00000163347	440.6462439592	-3.5916134817	0.487300485	-7.3704287039	1.70080205838049e-13	4.21363612853921e-12	ENSG00000163347	CLDN1	claudin 1
ENSG00000228252	23.3896032174	-3.5574287547	0.3701896192	-9.6097474655	7.27271355951399e-22	5.494668602775751e-20	ENSG00000228252	COL6A4P2	
ENSG00000150625	177.9125895975	-3.5339883635	0.3115945066	-11.3416260193	8.16137689646916e-30	1.64798383590101e-27	ENSG00000150625	GPM6A	glycoprotein M6A
ENSG00000132321	59.5638316565	-3.5184688336	0.33549462100000005	-10.4874075855	9.86992975541232e-26	1.21939086103216e-23	ENSG00000132321	IQCA1	IQ motif containing with AAA domain 1
ENSG00000183798	122.4624705839	-3.5160868963	0.41161586600000005	-8.5421558957	1.3174053223362301e-17	6.10853198719803e-16	ENSG00000183798	EMILIN3	elastin microfibril interfacer 3
ENSG00000211890	710.4534160859	-3.5054938338	0.5223256454	-6.7113186282	1.9287342549982798e-11	3.4726462679398603e-10	ENSG00000211890	IGHA2	
ENSG00000239951	1492.8680932591	-3.5035528776	0.5862160268000001	-5.9765559409	2.2790431705853302e-09	2.88009096234333e-08	ENSG00000239951	IGKV3-20	
ENSG00000134709	33.8845519597	-3.5017915741	0.3504905236	-9.9911162729	1.66693862557468e-23	1.51958448784791e-21	ENSG00000134709	HOOK1	hook microtubule tethering protein 1
ENSG00000276850	53.3755404014	-3.4938551914	0.48992388750000004	-7.1314244534	9.93354712865533e-13	2.1590518695488197e-11	ENSG00000276850	ENSG00000276850	ENSG00000276850
ENSG00000141668	66.3315257427	-3.4792013394	0.5515728353	-6.3077822491	2.8306206831478703e-10	4.159329093023e-09	ENSG00000141668	CBLN2	cerebellin 2 precursor
ENSG00000136546	500.4317851022	-3.4765958971	0.2049120401	-16.9662841473	1.45875498099152e-64	2.2828299823366503e-61	ENSG00000136546	SCN7A	sodium voltage-gated channel alpha subunit 7
ENSG00000163534	75.3506988474	-3.4489558418	0.4884150622	-7.0615263706	1.6468348255288099e-12	3.4787301674472e-11	ENSG00000163534	FCRL1	Fc receptor like 1
ENSG00000132639	56.1309807945	-3.4412536818	0.3454074518	-9.962881993	2.21545525052135e-23	2.00019394949714e-21	ENSG00000132639	SNAP25	synaptosome associated protein 25
ENSG00000211649	59.370342608	-3.439583081	0.6627531552	-5.1898403708	2.10474437356149e-07	1.82901409491491e-06	ENSG00000211649	IGLV7-46	
ENSG00000103888	341.1754711182	-3.4371563476	0.48896511610000004	-7.0294510477	2.07347681532833e-12	4.30728109679765e-11	ENSG00000103888	CEMIP	cell migration inducing hyaluronidase 1
ENSG00000116031	17.0167946793	-3.4366567246	0.35760724180000003	-9.6101429799	7.2448313284272495e-22	5.494668602775751e-20	ENSG00000116031	CD207	CD207 molecule
ENSG00000025423	88.1914054144	-3.4295735572	0.4612537219	-7.4353298285000005	1.04307368599772e-13	2.64343869761824e-12	ENSG00000025423	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6
ENSG00000128510	318.0275767983	-3.4081730275	0.4933764534	-6.9078550554	4.92036316561484e-12	9.66521965346036e-11	ENSG00000128510	CPA4	carboxypeptidase A4
ENSG00000172061	176.0502506856	-3.4042247877	0.5748701213	-5.9217285119	3.1857523946458704e-09	3.92554095925557e-08	ENSG00000172061	LRRC15	leucine rich repeat containing 15
ENSG00000211637	52.9845977695	-3.35576881	0.6355630048	-5.2799939337	1.29188163631147e-07	1.17199252407213e-06	ENSG00000211637	IGLV4-69	
ENSG00000172508	504.87577132	-3.3507055562	0.33046900220000003	-10.1392431172	3.6995482968798005e-24	3.75534148470842e-22	ENSG00000172508	CARNS1	carnosine synthase 1
ENSG00000113396	94.0175146303	-3.3086509158	0.3220879781	-10.2725067088	9.37368263700981e-25	1.00587649280233e-22	ENSG00000113396	SLC27A6	solute carrier family 27 member 6
ENSG00000250056	43.8255497978	-3.2887788716	0.3991778837	-8.2388804743	1.73829489346214e-16	6.716757161383841e-15	ENSG00000250056	LINC01018	
ENSG00000141738	56.126485192	-3.2753543429	0.41691807470000003	-7.8561102084000005	3.96246454849528e-15	1.25482498745688e-13	ENSG00000141738	GRB7	growth factor receptor bound protein 7
ENSG00000131037	114.2399037741	-3.2701906428	0.35120488600000005	-9.311347230500001	1.2622101768834601e-20	8.20174564418493e-19	ENSG00000131037	EPS8L1	EPS8 like 1
ENSG00000182050	21.9543294468	-3.2692818327	0.399537542	-8.1826649291	2.77634366056731e-16	1.04482880965518e-14	ENSG00000182050	MGAT4C	MGAT4 family member C
